id,retweet_count,favorite_count
892420643555336193,6946,33586
892177421306343426,5249,29135
891815181378084864,3459,21921
891689557279858688,7156,36651
891327558926688256,7694,35033
891087950875897856,2572,17687
890971913173991426,1640,10289
890729181411237888,15639,56465
890609185150312448,3596,24360
890240255349198849,6047,27750
890006608113172480,6094,26865
889880896479866881,4125,24405
889665388333682689,8271,41728
889638837579907072,3688,23497
889531135344209921,1869,13272
889278841981685760,4406,21941
888917238123831296,3733,25447
888804989199671297,3502,22320
888554962724278272,2856,17205
888078434458587136,2876,19037
887705289381826560,4504,26431
887517139158093824,9781,40446
887473957103951883,14906,59760
887343217045368832,8749,29387
887101392804085760,4958,26808
886983233522544640,6259,30133
886736880519319552,2604,10428
886680336477933568,3709,19597
886366144734445568,2608,18430
886267009285017600,4,103
886258384151887873,5231,24367
886054160059072513,93,0
885984800019947520,5572,28404
885528943205470208,5287,31393
885518971528720385,3090,17876
885311592912609280,15309,0
885167619883638784,3638,19123
884925521741709313,14895,66697
884876753390489601,4622,24220
884562892145688576,3885,21162
884441805382717440,4764,23725
884247878851493888,16754,62740
884162670584377345,2485,17822
883838122936631299,2843,19028
883482846933004288,8196,39908
883360690899218434,3057,19819
883117836046086144,5496,32275
882992080364220416,3222,20845
882762694511734784,4062,24607
882627270321602560,5023,24449
882268110199369728,9539,38938
882045870035918850,4055,25544
881906580714921986,2835,21309
881666595344535552,8879,44218
881633300179243008,8,113
881536004380872706,13302,43145
881268444196462592,4468,20364
880935762899988482,2318,14944
880872448815771648,3186,18580
880465832366813184,5174,24843
880221127280381952,3437,23501
880095782870896641,3628,24159
879862464715927552,2904,19587
879674319642796034,9,279
879492040517615616,2611,20582
879415818425184262,37095,92142
879376492567855104,2626,14742
879130579576475649,5687,0
879050749262655488,3923,19685
879008229531029506,2225,16655
878776093423087618,3410,17026
878604707211726852,5880,26271
878404777348136964,1063,0
878316110768087041,5486,0
878281511006478336,1063,6730
878057613040115712,5687,36890
877736472329191424,15671,68739
877556246731214848,3143,19773
877316821321428993,4308,23995
877201837425926144,4590,23726
876838120628539392,2790,18105
876537666061221889,3954,20930
876484053909872640,1985,16468
876120275196170240,3879,24536
875747767867523072,3554,21968
875144289856114688,4125,19299
875097192612077568,5079,24098
875021211251597312,3943,22419
874680097055178752,3892,24432
874434818259525634,12132,0
874296783580663808,3457,22818
874057562936811520,3354,19999
874012996292530176,8530,29934
873580283840344065,3326,21252
873337748698140672,1324,0
873213775632977920,1324,6285
872967104147763200,4527,23896
872820683541237760,3151,12979
872620804844003328,3051,18208
872486979161796608,7662,35861
872122724285648897,6780,30011
871879754684805121,9178,32830
871762521631449091,2942,17757
871515927908634625,2921,17794
871166179821445120,4868,0
871102520638267392,4640,18438
871032628920680449,3202,20040
870804317367881728,5248,29627
870726314365509632,3,105
870656317836468226,2183,10816
870374049280663552,22594,73487
870308999962521604,3524,19364
870063196459192321,7035,32200
869772420881756160,8637,37769
869702957897576449,5348,24899
869596645499047938,2618,14090
869227993411051520,3174,18015
868880397819494401,12164,57532
868639477480148993,1733,0
868622495443632128,4428,23489
868552278524837888,1733,8907
867900495410671616,3547,21449
867774946302451713,6212,30050
867421006826221569,2104,14251
867072653475098625,100,0
867051520902168576,6736,28519
866720684873056260,4103,17754
866686824827068416,2939,16999
866450705531457537,29966,108144
866334964761202691,12132,46301
866094527597207552,7118,0
865718153858494464,4796,22782
865359393868664832,4256,23425
865006731092295680,6618,24884
864873206498414592,7453,28646
864279568663928832,2561,12980
864197398364647424,7526,26455
863907417377173506,3567,18306
863553081350529029,3604,13595
863471782782697472,2078,0
863432100342583297,4529,21156
863427515083354112,80,1950
863079547188785154,943,7844
863062471531167744,2078,7469
862831371563274240,4429,17126
862722525377298433,3061,15226
862457590147678208,4216,18158
862096992088072192,19847,65765
861383897657036800,9197,32080
861288531465048066,3562,15260
861005113778896900,3311,14898
860981674716409858,1842,0
860924035999428608,672,0
860563773140209665,1842,6676
860524505164394496,4574,21111
860276583193509888,3046,16465
860184849394610176,5084,14928
860177593139703809,26512,0
859924526012018688,3563,17502
859851578198683649,3049,13903
859607811541651456,1354,16729
859196978902773760,26090,79877
859074603037188101,11884,30212
858860390427611136,7024,0
858843525470990336,3010,14038
858471635011153920,4224,19364
858107933456039936,2524,14134
857989990357356544,2251,14407
857746408056729600,9279,30593
857393404942143489,1434,5277
857263160327368704,3951,18163
857214891891077121,16,202
857062103051644929,145,0
857029823797047296,3465,16954
856543823941562368,2527,14739
856526610513747968,1644,10776
856288084350160898,15,485
856282028240666624,5546,25066
855862651834028034,21,299
855860136149123072,848,4379
855857698524602368,1849,10807
855851453814013952,16035,41686
855818117272018944,4784,24163
855459453768019968,7262,26949
855245323840757760,5226,0
855138241867124737,36,0
854732716440526848,5306,20552
854482394044301312,5977,26410
854365224396361728,4126,17103
854120357044912130,6553,29029
854010172552949760,2776,14760
853760880890318849,5092,25933
853639147608842240,8798,31352
853299958564483072,3149,14072
852936405516943360,1781,0
852912242202992640,1585,8206
852672615818899456,1898,13582
852553447878664193,3092,14803
852311364735569921,8811,30203
852226086759018497,6050,18250
852189679701164033,1410,10527
851591660324737024,3103,14868
851464819735769094,6271,22159
851224888060895234,5136,18925
850753642995093505,8029,27957
